, Author, Novel, Comics, Client, Human, Owner, Essay, Book, Bookstore, Drawer, null, null, null
User, 0.67, 0.44, 0.14, 0.71, 0.43, 0.80, 0.17, 0.50, 0.36, 0.67, , , 
Manager, 0.57, 0.40, 0.14, 0.57, 0.43, 0.57, 0.14, 0.40, 0.36, 0.57, , , 
Writer, 1.00, 0.44, 0.14, 0.67, 0.43, 0.67, 0.17, 0.44, 0.36, 0.67, , , 
Hardcover, 0.44, 0.89, 0.11, 0.50, 0.29, 0.44, 0.11, 0.89, 0.45, 0.56, , , 
Music, 0.17, 0.38, 0.43, 0.17, 0.07, 0.20, 0.75, 0.71, 0.09, 0.17, , , 
Human, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, , , 
Artist, 0.71, 0.44, 0.14, 0.67, 0.43, 0.67, 0.17, 0.44, 0.36, 0.86, , , 
Product, 0.44, 0.78, 0.29, 0.50, 0.29, 0.50, 0.33, 0.88, 0.45, 0.63, , , 
Book, 0.44, 0.89, 0.57, 0.50, 0.29, 0.50, 0.71, 1.00, 0.45, 0.63, , , 
Paperback, 0.44, 0.89, 0.11, 0.50, 0.29, 0.44, 0.11, 0.89, 0.45, 0.56, , , 
Movie, 0.44, 0.78, 0.29, 0.50, 0.29, 0.50, 0.50, 0.88, 0.45, 0.63, , , 
Electronic_Commerce_Site, 0.14, 0.38, 0.43, 0.14, 0.07, 0.14, 0.63, 0.57, 0.09, 0.14, , , 
null, , , , , , , , , , , , , 
null, , , , , , , , , , , , , 
null, , , , , , , , , , , , , 
