, Author, Novel, Comics, Client, Human, Owner, Essay, Book, Bookstore, Drawer, null, null, null
User, 0.20, 0.22, 0.20, 0.20, 0.22, 0.44, 0.22, 0.00, 0.15, 0.40, , , 
Manager, 0.15, 0.17, 0.15, 0.15, 0.50, 0.33, 0.17, 0.00, 0.13, 0.31, , , 
Writer, 0.17, 0.18, 0.17, 0.17, 0.00, 0.36, 0.18, 0.00, 0.13, 0.33, , , 
Hardcover, 0.13, 0.43, 0.27, 0.13, 0.14, 0.29, 0.14, 0.15, 0.11, 0.27, , , 
Music, 0.18, 0.00, 0.36, 0.18, 0.20, 0.00, 0.20, 0.00, 0.14, 0.00, , , 
Human, 0.18, 0.20, 0.18, 0.18, 1.00, 0.20, 0.20, 0.00, 0.00, 0.18, , , 
Artist, 0.17, 0.00, 0.17, 0.17, 0.18, 0.18, 0.18, 0.00, 0.27, 0.17, , , 
Product, 0.15, 0.17, 0.15, 0.15, 0.17, 0.17, 0.00, 0.18, 0.13, 0.15, , , 
Book, 0.20, 0.22, 0.20, 0.00, 0.00, 0.22, 0.00, 1.00, 0.62, 0.00, , , 
Paperback, 0.13, 0.14, 0.13, 0.13, 0.14, 0.29, 0.14, 0.15, 0.11, 0.27, , , 
Movie, 0.18, 0.40, 0.18, 0.36, 0.20, 0.20, 0.20, 0.22, 0.14, 0.18, , , 
Electronic_Commerce_Site, 0.07, 0.14, 0.20, 0.07, 0.07, 0.14, 0.07, 0.07, 0.06, 0.13, , , 
null, , , , , , , , , , , , , 
null, , , , , , , , , , , , , 
null, , , , , , , , , , , , , 
